Metropolitan/FMR Area Name,State,County Name,1-Unit,2-unit,3-unit,4-unit,studio rent,1 bdrm rent,2 bdrm rent,3 bdrm rent,4 bdrm rent
"Phoenix-Mesa-Scottsdale, AZ MSA",AZ,Maricopa County,"$258,000 ","$330,000 ","$400,000 ","$495,000 ",933,1032,1251,1765,2010
"Phoenix-Mesa-Scottsdale, AZ MSA",AZ,Pinal County,"$252,000 ","$322,000 ","$390,000 ","$483,000 ",933,1032,1251,1765,2010
"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",CA,Los Angeles County,"$510,000 ","$652,000 ","$790,000 ","$979,000 ",1369,1605,2058,2735,2982
"San Diego-Carlsbad, CA MSA",CA,San Diego County,"$518,000 ","$663,000 ","$803,000 ","$994,000 ",1478,1642,2124,2987,3677
"San Francisco, CA HUD Metro FMR Area",CA,Marin County,"$664,000 ","$850,000 ","$1,029,000 ","$1,275,000 ",2350,2923,3553,4567,4970
"San Francisco, CA HUD Metro FMR Area",CA,San Francisco County,"$664,000 ","$850,000 ","$1,029,000 ","$1,275,000 ",2350,2923,3553,4567,4970
"San Francisco, CA HUD Metro FMR Area",CA,San Mateo County,"$664,000 ","$850,000 ","$1,029,000 ","$1,275,000 ",2350,2923,3553,4567,4970
"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",CA,Santa Clara County,"$665,000 ","$851,000 ","$1,031,000 ","$1,277,000 ",2228,2558,3051,3984,4593
"Denver-Aurora-Lakewood, CO MSA",CO,Adams County,"$382,000 ","$489,000 ","$593,000 ","$734,000 ",1179,1304,1605,2186,2486
"Denver-Aurora-Lakewood, CO MSA",CO,Arapahoe County,"$382,000 ","$489,000 ","$593,000 ","$734,000 ",1179,1304,1605,2186,2486
"Denver-Aurora-Lakewood, CO MSA",CO,Broomfield County,"$403,000 ","$515,000 ","$624,000 ","$773,000 ",1179,1304,1605,2186,2486
"Denver-Aurora-Lakewood, CO MSA",CO,Clear Creek County,"$382,000 ","$489,000 ","$593,000 ","$734,000 ",1179,1304,1605,2186,2486
"Denver-Aurora-Lakewood, CO MSA",CO,Denver County,"$417,000 ","$534,000 ","$646,000 ","$801,000 ",1179,1304,1605,2186,2486
"Denver-Aurora-Lakewood, CO MSA",CO,Douglas County,"$418,000 ","$535,000 ","$648,000 ","$803,000 ",1179,1304,1605,2186,2486
"Denver-Aurora-Lakewood, CO MSA",CO,Elbert County,"$429,000 ","$550,000 ","$666,000 ","$824,000 ",1179,1304,1605,2186,2486
"Denver-Aurora-Lakewood, CO MSA",CO,Gilpin County,"$382,000 ","$489,000 ","$593,000 ","$734,000 ",1179,1304,1605,2186,2486
"Denver-Aurora-Lakewood, CO MSA",CO,Jefferson County,"$413,000 ","$529,000 ","$641,000 ","$793,000 ",1179,1304,1605,2186,2486
"Denver-Aurora-Lakewood, CO MSA",CO,Park County,"$382,000 ","$489,000 ","$593,000 ","$734,000 ",1179,1304,1605,2186,2486
