metro id,State,County Name,1-Unit,2-unit,3-unit,4-unit,studio rent,1 bdrm rent,2 bdrm rent,3 bdrm rent,4 bdrm rent
METRO35620MM5600,NY,Putnam County,"$508,000 ","$651,000 ","$788,000 ","$976,000 ",1760,1801,2053,2598,2784
METRO35620MM5600,NY,Queens County,"$546,000 ","$699,000 ","$847,000 ","$1,049,000 ",1760,1801,2053,2598,2784
METRO35620MM5600,NY,Richmond County,"$521,000 ","$666,000 ","$807,000 ","$999,000 ",1760,1801,2053,2598,2784
METRO35620MM5600,NY,Rockland County,"$508,000 ","$651,000 ","$788,000 ","$976,000 ",1760,1801,2053,2598,2784
METRO16740M16740,NC,Cabarrus County,"$227,000 ","$290,000 ","$352,000 ","$436,000 ",987,1010,1151,1518,1956
METRO16740M16740,NC,Gaston County,"$227,000 ","$290,000 ","$352,000 ","$436,000 ",987,1010,1151,1518,1956
METRO16740M16740,NC,Mecklenburg County,"$248,000 ","$317,000 ","$384,000 ","$476,000 ",987,1010,1151,1518,1956
METRO16740M16740,NC,Union County,"$237,000 ","$303,000 ","$367,000 ","$454,000 ",987,1010,1151,1518,1956
METRO18140M18140,OH,Delaware County,"$277,000 ","$355,000 ","$430,000 ","$533,000 ",717,827,1031,1298,1468
METRO18140M18140,OH,Fairfield County,"$201,000 ","$258,000 ","$312,000 ","$387,000 ",717,827,1031,1298,1468
METRO18140M18140,OH,Franklin County,"$198,000 ","$253,000 ","$306,000 ","$379,000 ",717,827,1031,1298,1468
METRO18140M18140,OH,Licking County,"$198,000 ","$253,000 ","$306,000 ","$379,000 ",717,827,1031,1298,1468
METRO18140M18140,OH,Madison County,"$198,000 ","$253,000 ","$306,000 ","$379,000 ",717,827,1031,1298,1468
METRO18140M18140,OH,Morrow County,"$198,000 ","$253,000 ","$306,000 ","$379,000 ",717,827,1031,1298,1468
METRO18140M18140,OH,Pickaway County,"$198,000 ","$253,000 ","$306,000 ","$379,000 ",717,827,1031,1298,1468
METRO36420M36420,OK,Canadian County,"$166,000 ","$213,000 ","$257,000 ","$319,000 ",705,738,918,1238,1488
METRO36420M36420,OK,Cleveland County,"$157,000 ","$201,000 ","$243,000 ","$301,000 ",705,738,918,1238,1488
METRO36420M36420,OK,Logan County,"$179,000 ","$229,000 ","$277,000 ","$343,000 ",705,738,918,1238,1488
METRO36420M36420,OK,McClain County,"$180,000 ","$231,000 ","$280,000 ","$346,000 ",705,738,918,1238,1488
METRO36420M36420,OK,Oklahoma County,"$157,000 ","$201,000 ","$243,000 ","$301,000 ",705,738,918,1238,1488
METRO38900M38900,OR,Clackamas County,"$399,000 ","$511,000 ","$618,000 ","$766,000 ",1245,1331,1536,2193,2657
